Week,GasolinePrices
06/20/2016,2.455
06/27/2016,2.432
07/4/2016,2.396
07/11/2016,2.359
07/18/2016,2.336
07/25/2016,2.289
08/1/2016,2.267
08/8/2016,2.256
08/15/2016,2.256
08/22/2016,2.299
08/29/2016,2.341
09/5/2016,2.329
09/12/2016,2.31
09/19/2016,2.333
09/26/2016,2.334
10/3/2016,2.354
10/10/2016,2.381
10/17/2016,2.367
10/24/2016,2.353
10/31/2016,2.341
11/7/2016,2.345
11/14/2016,2.298
11/21/2016,2.269
11/28/2016,2.268
12/5/2016,2.321
12/12/2016,2.347
12/19/2016,2.375
12/26/2016,2.419
01/2/2017,2.485
01/9/2017,2.496
01/16/2017,2.467
01/23/2017,2.436
01/30/2017,2.408
02/6/2017,2.405
02/13/2017,2.418
02/20/2017,2.414
02/27/2017,2.427
03/6/2017,2.452
03/13/2017,2.434
03/20/2017,2.433
03/27/2017,2.428
04/3/2017,2.471
04/10/2017,2.534
04/17/2017,2.546
04/24/2017,2.559
05/1/2017,2.522
05/8/2017,2.484
05/15/2017,2.481
05/22/2017,2.51
05/29/2017,2.516
06/5/2017,2.525
06/12/2017,2.479
06/19/2017,2.433
06/26/2017,2.404
07/3/2017,2.376
07/10/2017,2.411
07/17/2017,2.392
07/24/2017,2.426
07/31/2017,2.467
08/7/2017,2.492
08/14/2017,2.497
08/21/2017,2.474
08/28/2017,2.513
09/4/2017,2.794
09/11/2017,2.8
09/18/2017,2.75
09/25/2017,2.701
10/2/2017,2.682
10/9/2017,2.622
10/16/2017,2.605
10/23/2017,2.594
10/30/2017,2.602
11/6/2017,2.673
11/13/2017,2.706
11/20/2017,2.683
11/27/2017,2.648
12/4/2017,2.617
12/11/2017,2.601
12/18/2017,2.568
12/25/2017,2.589
01/1/2018,2.637
01/8/2018,2.639
01/15/2018,2.673
01/22/2018,2.684
01/29/2018,2.723
02/5/2018,2.753
02/12/2018,2.724
02/19/2018,2.676
02/26/2018,2.666
03/5/2018,2.679
03/12/2018,2.677
03/19/2018,2.716
03/26/2018,2.764
04/2/2018,2.817
04/9/2018,2.811
04/16/2018,2.863
04/23/2018,2.914
04/30/2018,2.961
05/7/2018,2.96
05/14/2018,2.949
05/21/2018,2.999
05/28/2018,3.039
06/4/2018,3.018
06/11/2018,2.989
06/18/2018,2.958
06/25/2018,2.913
07/2/2018,2.924
07/9/2018,2.937
07/16/2018,2.943
07/23/2018,2.911
07/30/2018,2.924
08/6/2018,2.93
08/13/2018,2.921
08/20/2018,2.9
08/27/2018,2.906
09/3/2018,2.903
09/10/2018,2.912
09/17/2018,2.921
09/24/2018,2.923
10/1/2018,2.947
10/8/2018,2.984
10/15/2018,2.961
10/22/2018,2.925
10/29/2018,2.896
11/5/2018,2.84
11/12/2018,2.773
11/19/2018,2.7
11/26/2018,2.63
12/3/2018,2.544
12/10/2018,2.511
12/17/2018,2.46
12/24/2018,2.413
12/31/2018,2.358
01/7/2019,2.329
01/14/2019,2.338
01/21/2019,2.34
01/28/2019,2.343
02/4/2019,2.341
02/11/2019,2.361
02/18/2019,2.4
02/25/2019,2.471
03/4/2019,2.502
03/11/2019,2.549
03/18/2019,2.625
03/25/2019,2.701
04/1/2019,2.77
04/8/2019,2.826
04/15/2019,2.912
04/22/2019,2.926
04/29/2019,2.972
05/6/2019,2.983
05/13/2019,2.954
05/20/2019,2.939
05/27/2019,2.909
06/3/2019,2.893
06/10/2019,2.821
06/17/2019,2.759
06/24/2019,2.741
07/1/2019,2.798
07/8/2019,2.827
07/15/2019,2.86
07/22/2019,2.833
07/29/2019,2.798
08/5/2019,2.772
08/12/2019,2.71
08/19/2019,2.684
08/26/2019,2.661
09/2/2019,2.651
09/9/2019,2.638
09/16/2019,2.64
09/23/2019,2.741
09/30/2019,2.737
10/7/2019,2.742
10/14/2019,2.727
10/21/2019,2.735
10/28/2019,2.692
11/4/2019,2.702
11/11/2019,2.711
11/18/2019,2.688
11/25/2019,2.672
12/2/2019,2.667
12/9/2019,2.652
12/16/2019,2.627
12/23/2019,2.621
12/30/2019,2.658
01/6/2020,2.665
01/13/2020,2.657
01/20/2020,2.625
01/27/2020,2.595
02/3/2020,2.546
02/10/2020,2.511
02/17/2020,2.518
02/24/2020,2.555
03/2/2020,2.514
03/9/2020,2.468
03/16/2020,2.343
03/23/2020,2.217
03/30/2020,2.103
04/6/2020,2.022
04/13/2020,1.951
04/20/2020,1.91
04/27/2020,1.87
05/4/2020,1.883
05/11/2020,1.941
05/18/2020,1.969
05/25/2020,2.049
06/1/2020,2.064
06/8/2020,2.123
06/15/2020,2.185
06/22/2020,2.216
06/29/2020,2.26
07/6/2020,2.265
07/13/2020,2.283
07/20/2020,2.275
07/27/2020,2.265
08/3/2020,2.266
08/10/2020,2.256
08/17/2020,2.256
08/24/2020,2.272
08/31/2020,2.311
09/7/2020,2.302
09/14/2020,2.274
09/21/2020,2.259
09/28/2020,2.259
10/5/2020,2.262
10/12/2020,2.257
10/19/2020,2.24
10/26/2020,2.234
11/2/2020,2.204
11/9/2020,2.188
11/16/2020,2.202
11/23/2020,2.194
11/30/2020,2.211
12/7/2020,2.246
12/14/2020,2.247
12/21/2020,2.311
12/28/2020,2.33
01/4/2021,2.336
01/11/2021,2.403
01/18/2021,2.464
01/25/2021,2.478
